query = #rcbvsdc
event = delhi after first strtegic timeout
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  22:21,1387087029750566913,chocobar239,"RT @SandilyaDHFM: Wickets ki umpire call ok impact kudana 🚶‍♂️

#RCBvsDC | #RCB | @imVkohli",2021-04-27 16:51:33,"Hyderabad, India",2,0.5,0.5
2021-04-27  22:21,1387087027938766853,srinutweets1,"53-3 in 9 overs

Drinks break

 #RCBvsDC",2021-04-27 16:51:32,,0,0.0,0.0
2021-04-27  22:21,1387087012067385345,viralvdoz,"IPL 2021, DC vs RCB: Delhi Capitals 53/3 in 9 overs
https://t.co/jhjzdqJ1rQ @IPL @DelhiCapitals @RishabhPant17… https://t.co/7UX9VrBuJ3",2021-04-27 16:51:29,"London, UK",0,0.0,0.0
2021-04-27  22:21,1387087011090092034,deore_manasi,"RT @meme_ki_diwani: #RCBvsDC
#AbdeVilliers
Forever and always https://t.co/Cndk4KbzYO",2021-04-27 16:51:28,"नाशिक, भारत",43,0.0,0.0
2021-04-27  22:21,1387087009638797314,amaan1518,"RT @Zero_humour: #RCBvsDC
ABD to whole RCB : https://t.co/dgs8ANN03y",2021-04-27 16:51:28,"Pune, Maharashtra ",62,0.2,0.4
2021-04-27  22:21,1387087003884220418,srijanipodder,"Nice over by chahal.. wicket bhi hona tha yar.

#RCBvsDC",2021-04-27 16:51:27,India,0,0.6,1.0
2021-04-27  22:21,1387086998054215680,shivans44308713,"RT @Rohith11510615: #AbdeVilliers #RCBvsDC 

Rcb with ABD 50      Rcb without ABD 50 https://t.co/C9f9PmP0No",2021-04-27 16:51:25,,2,0.0,0.0
2021-04-27  22:21,1387086997827764229,electric_rahul,RT @Gss_Views: @GautamGambhir @ArvindKejriwal U again might be wondering how come Gambhir tweeting against Kejriwal in middle of IPL match…,2021-04-27 16:51:25,,6,0.0,0.0
2021-04-27  22:21,1387086992387706880,VivekBagi17,"RT @asIam_as: WTF is with that umpire call! That's Plumb🤬 

#RCBvsDC https://t.co/LtkzLIssls",2021-04-27 16:51:24,,1,-0.625,1.0
2021-04-27  22:21,1387086985869750273,RahulVictor13,"RT @SandilyaDHFM: Wickets ki umpire call ok impact kudana 🚶‍♂️

#RCBvsDC | #RCB | @imVkohli",2021-04-27 16:51:22,"Eluru, India",2,0.5,0.5
2021-04-27  22:21,1387086984032649219,komdeepmalkom,"#ipl2021
#vivoipl2021
#dcvrcb
#rcbvsdc
#dcvsrcb
#rcbvdc

Hello Harsh
Hello Doulli
Hello KP
KP was always number 24,… https://t.co/zMxFSWe2zz",2021-04-27 16:51:22,"Gurgaon, India",0,-0.2,0.7
2021-04-27  22:21,1387086977216905218,Pen_under_baby,#RCBvsDC #AbdeVilliers IS THERE ANY LIFETIME SUBSCRIPTION FOR WATCHING ONLY THIS MAN ? https://t.co/gvJ8KLMEcT,2021-04-27 16:51:20,,0,0.0,1.0
2021-04-27  22:21,1387086971650994179,imashish1998,"RT @aakash_lakhia: #RCBvsDC
Carefully, He's a Hero💖
#AbdeVilliers 👑❤️ https://t.co/3mkWrs5s2B",2021-04-27 16:51:19,,65,-0.1,1.0
2021-04-27  22:21,1387086964352978946,vedveer123,"RT @kukreja_ravii: Most Runs in RCB vs DC Matches ...

Virat Kohli - 921 
Ab de Villiers - 589 
Rishabh pant - 319 

It looks like king Koh…",2021-04-27 16:51:17,"New Delhi, India",134,0.5,0.5
2021-04-27  22:21,1387086940067954690,SandilyaDHFM,"Wickets ki umpire call ok impact kudana 🚶‍♂️

#RCBvsDC | #RCB | @imVkohli",2021-04-27 16:51:11,mars,2,0.5,0.5
2021-04-27  22:21,1387086939765891077,Singhvp11,"RT @Being_SadeSati: (1/2)Watch Tripura's DM West, Shailesh Yadav IAS beating the hell out of people who violated Night Curfew rules in Agar…",2021-04-27 16:51:11,Bharat,18,-0.75,1.0
2021-04-27  22:21,1387086939266846722,rubina_rocks,RT @GauravN90268632: No matter what but rcb is the biggest fanbase of ipl in the world 😄😄   #rcb #PlayBold #RCBvsDC #ViratKohli #AbdeVillie…,2021-04-27 16:51:11,,47,0.0,0.0
2021-04-27  22:21,1387086928965554176,VelmaniSVG18,"RT @ViratiansTamil: The Saviour 😭❤ 
No words to describe your batting. 
The GOAT @ABdeVilliers17 🔥

#PlayBold #AbdeVilliers #RCBvsDC https:…",2021-04-27 16:51:09,"Salem, India",15,0.0,0.0
2021-04-27  22:21,1387086928797782017,vedveer123,"RT @tweetakudu: 5000 runs for ABD in IPL.. congrats genuis @ABdeVilliers17 
#RCBvsDC https://t.co/LNBqb2HPCf",2021-04-27 16:51:09,"New Delhi, India",103,0.0,0.0
2021-04-27  22:21,1387086921944297481,srijanipodder,"Wicket lao... Wicket lao..

#RCBvsDC",2021-04-27 16:51:07,India,0,0.0,0.0
2021-04-27  22:21,1387086906895179784,ksss_yaragatti_,"RT @Kichchacreatiin: Best wishes to team @RCBTweets for the game today.... #MatchDay #RCBvsDC 

@KicchaSudeep @iampriya06 @StarSportsKan @B…",2021-04-27 16:51:04,"Karnataka, India",207,0.3,0.35
2021-04-27  22:21,1387086904659566596,VelmaniSVG18,"RT @imnotVkohli: Virat Kohli looking at the best overseas batsman in IPL.

#IPL #RCBvsDC https://t.co/Oea6zPthQ2",2021-04-27 16:51:03,"Salem, India",28,1.0,0.3
2021-04-27  22:21,1387086896875008001,BiradarSandesh1,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:51:01,"Humnabad Karanataka,India",191,0.5,0.875
2021-04-27  22:21,1387086842126737410,rubina_rocks,"RT @RkStrdr1: Who will win #RCBvsDC  ?
#RCB #DC

Retweet 🔁.             Like ❤️
#RCB                  #DC https://t.co/PhJ3zILrdF",2021-04-27 16:50:48,,93,0.8,0.4
2021-04-27  22:21,1387086822920966147,asIam_as,"WTF is with that umpire call! That's Plumb🤬 

#RCBvsDC https://t.co/LtkzLIssls",2021-04-27 16:50:44,coimbatore'nga,1,-0.625,1.0
2021-04-27  22:21,1387086777291218948,Lee_Boy_Vfc,"RT @imnotVkohli: Virat Kohli looking at the best overseas batsman in IPL.

#IPL #RCBvsDC https://t.co/Oea6zPthQ2",2021-04-27 16:50:33,"Chennai, India",28,1.0,0.3
2021-04-27  22:21,1387086752179884041,floral_art999,this is unfair man #RCBvsDC,2021-04-27 16:50:27,,0,-0.5,1.0
2021-04-27  22:21,1387086749248081921,KettavanMari,RT @VikashM60746089: Can't think of any Batsman play so well like AB Devillers without playing any professional Cricket for 5 months. Only…,2021-04-27 16:50:26," Madurai karan 🔥 South, India",4,0.1,0.1
2021-04-27  22:21,1387086729862008832,rubina_rocks,"RT @ViratFanTrends: Demigod @imVkohli Anna ❤️🙏

#RCBvsDC • #PlayBold • @RCBTweets https://t.co/KEXv9Ezb80",2021-04-27 16:50:21,,280,0.0,0.0
2021-04-27  22:21,1387086724946219008,kichha_avinash,"RT @kichaafan: Best finisher in the world according to 

Online.                          Offline

#RCB #AbdeVilliers #RCBvsDC https://t.co…",2021-04-27 16:50:20,"Vijayapura, India",85,1.0,0.3
2021-04-27  22:21,1387086720970072064,JaaNu_ABD17,Umpire S**ks #RCBvsDC,2021-04-27 16:50:19,,0,0.0,0.0
2021-04-27  22:21,1387086698606075907,GAUTAMSAITEZA,The only way Delhi is going to win the match is if virat kohli bowls a magical over !! 😂#RCBvsDC,2021-04-27 16:50:14,,0,0.5270833333333333,0.7999999999999999
2021-04-27  22:21,1387086696307515394,KettavanMari,"RT @Urs2rulyaditya: There is nothing,this man can't do.
A perfect Ipl king 👑 @ABdeVilliers17 
#RCBvsDC 
#AbdeVilliers https://t.co/bSXh9zEk…",2021-04-27 16:50:13," Madurai karan 🔥 South, India",8,1.0,1.0
2021-04-27  22:21,1387086694248116224,shaik_asifuddin,"RT @Sports_amaze: Prithivi Shaw becomes 7th Indian Player to score 1000 runs for Delhi Capitals alone in IPL

Most runs for #DelhiCapitals…",2021-04-27 16:50:13,,3,0.5,0.5
2021-04-27  22:21,1387086684316082182,Shaljin6,"RT @Billa_Shiva_: This guy @imVkohli 😂❤️

#RCBvsDC https://t.co/QJuWQvQqHV",2021-04-27 16:50:11,Kanyakumari,2,0.0,0.0
2021-04-27  22:21,1387086647414726663,srinutweets1,"52-3 in 8.4 overs

Drs is not out

 #RCBvsDC",2021-04-27 16:50:02,,0,0.0,0.0
2021-04-27  22:21,1387086639164399618,Prajwalcspatil1,"RT @kichaafan: Best finisher in the world according to 

Online.                          Offline

#RCB #AbdeVilliers #RCBvsDC https://t.co…",2021-04-27 16:50:00,,85,1.0,0.3
2021-04-27  22:21,1387086635322413060,shivans44308713,"RT @meme_ki_diwani: #RCBvsDC
#AbdeVilliers
Forever and always https://t.co/Cndk4KbzYO",2021-04-27 16:49:59,,43,0.0,0.0
2021-04-27  22:21,1387086626166231040,Pavniv51675348,"RT @memegineers_: #RCBvsDC
AB de Villiers always delivers 🔥 https://t.co/J0yL02jbeT",2021-04-27 16:49:57,"Himachal Pradesh, India",41,0.0,0.0
2021-04-27  22:21,1387086622064144385,shivans44308713,"RT @aakash_lakhia: #RCBvsDC
Carefully, He's a Hero💖
#AbdeVilliers 👑❤️ https://t.co/3mkWrs5s2B",2021-04-27 16:49:56,,65,-0.1,1.0
2021-04-27  22:21,1387086618108915715,Prajwalcspatil1,"RT @Kichchacreatiin: Best wishes to team @RCBTweets for the game today.... #MatchDay #RCBvsDC 

@KicchaSudeep @iampriya06 @StarSportsKan @B…",2021-04-27 16:49:55,,207,0.3,0.35
2021-04-27  22:21,1387086600258023424,Aitheyenti2,"RT @Rohith11510615: #AbdeVilliers #RCBvsDC 

Rcb with ABD 50      Rcb without ABD 50 https://t.co/C9f9PmP0No",2021-04-27 16:49:50,,2,0.0,0.0
2021-04-27  22:21,1387086596764160006,being_sudeepian,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:49:50,hospete,191,0.5,0.875
2021-04-27  22:21,1387086591303192579,morphine1mg,"RT @meme_ki_diwani: #RCBvsDC
He is always there for Kohli😌
Got help from Patidar too https://t.co/ZvCqHlASI6",2021-04-27 16:49:48,"बागी बलिया, उत्तरप्रदेश",47,0.0,0.0
2021-04-27  22:21,1387086588769816580,amaan1518,"RT @RomanaRaza: #RCBvsDC 
ABD to Team RCB: https://t.co/KWgq3UjA5v",2021-04-27 16:49:48,"Pune, Maharashtra ",62,0.0,0.0
2021-04-27  22:21,1387086578997030912,vighneshShetty2,"RT @imnotVkohli: Virat Kohli looking at the best overseas batsman in IPL.

#IPL #RCBvsDC https://t.co/Oea6zPthQ2",2021-04-27 16:49:45,"Mangalore, India",28,1.0,0.3
2021-04-27  22:21,1387086571900309504,shivans44308713,"RT @DoctorrSays: * #AbdeVilliers form in RCB team *

#RCBvsDC https://t.co/HoVNp5Ca7V",2021-04-27 16:49:44,,8,0.0,0.0
2021-04-27  22:21,1387086516627726340,sailikith11,"After 5 matches in the IPL 2021,DC middle order has been exposed by RCB. They have a good opportunity to prove them… https://t.co/VwG8fAhSnL",2021-04-27 16:49:31,,0,0.35,0.30000000000000004
2021-04-27  22:21,1387086514434105345,ShettyAmogh_kun,"RT @Rohith11510615: #RCBvsDC  Washington sundar

Expectations              Sad reality https://t.co/tktvRGsFU7",2021-04-27 16:49:30,"Bengaluru, India",9,-0.5,1.0
2021-04-27  22:21,1387086433760858114,JeniusKaafi,"RT @whyfokowhy: ABD
C is missing ?
C = Class + Consistency ✨
#RCB #RCBvsDC https://t.co/fh8oKGyqRs",2021-04-27 16:49:11,,35,-0.2,0.05
2021-04-27  22:21,1387086419345108995,Deb22dn,"To be honest I always want 2 see some of my favourite foreign players in @IPL
1) @PereraThisara (CSK) 2)… https://t.co/03y50uWY92",2021-04-27 16:49:07,"Silchar, India",0,0.2375,0.5125
2021-04-27  22:21,1387086418535755789,WeRtt43461223,"RT @hugepooja: Even while the sandstorm was going on, Virat Kohli &amp; #Abdevilliers were busy in their own thing. Wait for it! 😂❤

#RCBvsDC #…",2021-04-27 16:49:07,,6,0.425,0.65
2021-04-27  22:21,1387086401754210305,IamASA29,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:49:03,Ruins,191,0.5,0.875
2021-04-27  22:21,1387086396305772544,_infinityyy,"RT @meme_ki_diwani: #RCBvsDC
#AbdeVilliers
Forever and always https://t.co/Cndk4KbzYO",2021-04-27 16:49:02,India,43,0.0,0.0
2021-04-27  22:21,1387086394560966663,mannatpreet14,"RT @ItsNandewar: #RCBvsDC
Players will come and go
But surely Cricket won't see another
AB De Villiers👏❤️ https://t.co/aH1sOIk7Tt",2021-04-27 16:49:01,,41,0.5,0.8888888888888888
2021-04-27  22:21,1387086371261599744,Sankalp00310111,"RT @munna_30_: #RCBvsDC
Where AB de Villiers can hit the ball? https://t.co/FAD7TohZOt",2021-04-27 16:48:56,,40,0.0,0.0
2021-04-27  22:21,1387086369634217990,therinnerebirth,"RT @hp_mode2: ABD Villiers to RCB :
#RCBvsDC https://t.co/hY28ULjcj7",2021-04-27 16:48:55,                              ,45,0.0,0.0
2021-04-27  22:21,1387086337476603910,srinutweets1,"Drs time now at 52-3
 #RCBvsDC",2021-04-27 16:48:48,,0,0.0,0.0
2021-04-27  22:21,1387086297823514625,irshadk50483499,@GooglePayDevs @GooglePayIndia @sundarpichai #RCBvsDC #AbdeVilliers #BTS_Butter Even after giving time by google pa… https://t.co/pVUfSzWyf9,2021-04-27 16:48:38,,0,0.0,0.0
2021-04-27  22:21,1387086289128681475,ManiKan13874851,"RT @Kichchacreatiin: Best wishes to team @RCBTweets for the game today.... #MatchDay #RCBvsDC 

@KicchaSudeep @iampriya06 @StarSportsKan @B…",2021-04-27 16:48:36,India,207,0.3,0.35
2021-04-27  22:21,1387086277648936963,Rohith11510615,"#AbdeVilliers #RCBvsDC 

Rcb with ABD 50      Rcb without ABD 50 https://t.co/C9f9PmP0No",2021-04-27 16:48:34,,2,0.0,0.0
2021-04-27  22:21,1387086272930271233,_Marktamang,"RT @istormbreaker__: RCB with ABD                       Without ABD
#RCBvsDC https://t.co/vTNIvZgPea",2021-04-27 16:48:32,,46,0.0,0.0
2021-04-27  22:21,1387086271311351810,baawra_chora,"Please don't dive like that AB. You're too important and I don't want you to have any injuries.
#RCBvsDC",2021-04-27 16:48:32,आपसे दो कदम आगे,0,0.4,1.0
2021-04-27  22:21,1387086249656152070,cyber_sipahi_,"RT @Being_SadeSati: (1/2)Watch Tripura's DM West, Shailesh Yadav IAS beating the hell out of people who violated Night Curfew rules in Agar…",2021-04-27 16:48:27,,18,-0.75,1.0
2021-04-27  22:21,1387086218790277124,Abhi_mania,Don't think DC can pull this chase on this pitch without any dew... #RCBvsDC #DCvRCB,2021-04-27 16:48:20,"Kerala, India",0,0.0,0.0
2021-04-27  22:21,1387086213790593027,1959thakur,RT @sanjukta: Among India trends largest number of Tweets are in #Resign_PM_Modi which is trending at no.3 with a whooping 375k Tweets wher…,2021-04-27 16:48:18,,33,0.0,0.0
2021-04-27  22:21,1387086192949317639,DexteR_VJ,"RT @Itz_MahiVFC: Whenever RCB is in trouble.

AB de Villiers : #RCBvsDC
#Master #Rcb #PlayBold https://t.co/R2U14fibJ7",2021-04-27 16:48:13,,14,-0.2,0.2
2021-04-27  22:21,1387086185718181888,Vicky270800,"Ohh god that's pad, else I can't accept AB dropping🚶
#RCBvsDC #DCvRCB",2021-04-27 16:48:12,,0,0.0,0.0
2021-04-27  22:21,1387086166441160707,JeniusKaafi,"RT @aakash_lakhia: #RCBvsDC
Carefully, He's a Hero💖
#AbdeVilliers 👑❤️ https://t.co/3mkWrs5s2B",2021-04-27 16:48:07,,65,-0.1,1.0
2021-04-27  22:21,1387086158933331970,8106S,"Fifty loading for stoinis 🔥

#RCBvsDC #IPL2021",2021-04-27 16:48:05,,0,0.0,0.0
2021-04-27  22:21,1387086157511417867,Aditiab17,"RT @harxh17: Greatest IPL Batsman @ABdeVilliers17
#RCBvsDC https://t.co/tRoE1POtKY",2021-04-27 16:48:05,,28,1.0,1.0
2021-04-27  22:21,1387086154298654721,_Marktamang,"RT @harxh17: Greatest IPL Batsman @ABdeVilliers17
#RCBvsDC https://t.co/tRoE1POtKY",2021-04-27 16:48:04,,28,1.0,1.0
2021-04-27  22:21,1387086152713195524,iambadboy2255,"Very difficult for #DelhiCapitals
#rcbvsdc",2021-04-27 16:48:04,"New Delhi, India",0,-0.65,1.0
2021-04-27  22:21,1387086137127100418,Rakshith_Poojar,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:48:00,"Mumbai, India",192,0.5,0.875
2021-04-27  22:21,1387086080718082048,vishal_saini_vs,"RT @Ashok_blue_b: #RCBvsDC
Ab de villiers to DC bowlers today :- https://t.co/mo3CMPJIs4",2021-04-27 16:47:47,lost in space,54,0.0,0.0
2021-04-27  22:21,1387086060241395714,Hereonly4Dc,"Pant plz prove why you are captain Of DC plz 

#RCBvsDC",2021-04-27 16:47:42,Delhi ,0,0.0,0.0
2021-04-27  22:21,1387086060144844803,_Marktamang,"RT @hp_mode2: ABD Villiers to RCB :
#RCBvsDC https://t.co/hY28ULjcj7",2021-04-27 16:47:42,,45,0.0,0.0
2021-04-27  22:21,1387086053140406272,Aswinrio0711,"RT @Itz_MahiVFC: Whenever RCB is in trouble.

AB de Villiers : #RCBvsDC
#Master #Rcb #PlayBold https://t.co/R2U14fibJ7",2021-04-27 16:47:40,Chennai,14,-0.2,0.2
2021-04-27  22:21,1387086046198861832,abilash_afc,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:47:38,"Chennai, India",192,0.5,0.875
2021-04-27  22:21,1387086018604457984,ImChandana01,"@mguindore 175* By Chris Gayle
#MGUIPLContest2021 #HarGharKiRasoiKiShaan #IPL2021 #ContestAlert #contestalertindia… https://t.co/lSvEMT3UcT",2021-04-27 16:47:32,Asansol,0,0.0,0.0
2021-04-27  22:21,1387086016670957568,_Marktamang,"RT @akibaliii: Whenever RCB is in trouble.

AB de Villiers : #RCBvsDC https://t.co/3njBmnv5G3",2021-04-27 16:47:31,,23,-0.2,0.2
2021-04-27  22:21,1387086013927854085,amitnegi_13,"#RCBvsDC
Who is more valuable to #RCB",2021-04-27 16:47:31,"Dehradun, India",0,0.5,0.5
2021-04-27  22:21,1387086011759353856,sivayenigalla,"RT @kichaafan: Bring back this virat kohli at any cost 🥺🥺🥺
#RCBvsDC #ನಮ್ಮRCB

 https://t.co/ceQ7sxbFn0",2021-04-27 16:47:30,VIJAYAWADA,15,0.0,0.0
2021-04-27  22:21,1387085998253744132,Ssaur_vv,RT @rpsingh: The only constant in every IPL is @ABdeVilliers17 . ABD bus naam hi kaafi hai. #DCvRCB #RCBvsDC,2021-04-27 16:47:27,Lucknow ,42,0.0,0.6666666666666666
2021-04-27  22:21,1387085995925929984,REBEL45d,"RT @Praveen10536933: Bowl a good ball you will get hit, Bowl a Bad One you will get a wicket. So called T20 Format for a reason #HarshalPat…",2021-04-27 16:47:26,HINDUstan,1,5.551115123125783e-17,0.6333333333333333
2021-04-27  22:21,1387085993715458049,Pen_under_baby,#RCBvsDC Momentum complete with @RCBTweets,2021-04-27 16:47:26,,0,0.1,0.4
2021-04-27  22:21,1387085987650539521,iqrakahkashan,"RT @kukreja_ravii: Most Runs in RCB vs DC Matches ...

Virat Kohli - 921 
Ab de Villiers - 589 
Rishabh pant - 319 

It looks like king Koh…",2021-04-27 16:47:24,,134,0.5,0.5
2021-04-27  22:21,1387085976971857921,soulik_singh,"RT @Being_SadeSati: (1/2)Watch Tripura's DM West, Shailesh Yadav IAS beating the hell out of people who violated Night Curfew rules in Agar…",2021-04-27 16:47:22,"कोलकाता, भारत",18,-0.75,1.0
2021-04-27  22:21,1387085975558385665,Mb16432920,"RT @Prem_Ssmb: THE SAVIOUR @ABdeVilliers17 
#RCBvsDC 
#IPL2021 
#RCB https://t.co/WaIS2FxSss",2021-04-27 16:47:22,,4,0.0,0.0
2021-04-27  22:21,1387085960513474563,WeRtt43461223,"RT @harxh17: Greatest IPL Batsman @ABdeVilliers17
#RCBvsDC https://t.co/tRoE1POtKY",2021-04-27 16:47:18,,28,1.0,1.0
2021-04-27  22:21,1387085951227232260,_Marktamang,"RT @Ashok_blue_b: #RCBvsDC
Ab de villiers to DC bowlers today :- https://t.co/mo3CMPJIs4",2021-04-27 16:47:16,,54,0.0,0.0
2021-04-27  22:21,1387085948110852101,TanyaSi54133727,"Its ok AB ❤

#AbdeVilliers #RCBvsDC",2021-04-27 16:47:15,,0,0.5,0.5
2021-04-27  22:21,1387085939273437193,ViratianSanjib,"RT @tarunvk_: Can I get 800 followers before the match ?  😿🙂

#rcb #RCBvsDC",2021-04-27 16:47:13,"Kolkata, India",6,0.0,0.0
2021-04-27  22:21,1387085937788739587,SDVJ_0786,RT @barshaVkohli18: Its Heartbreaking 💔  #RCBvsDC   #WeAreChallengers #PlayBold https://t.co/wiVwSmy1SV,2021-04-27 16:47:13,,10,0.0,0.0
2021-04-27  22:21,1387085935997689856,Sankar__Tweets,"Without any matter of doubt !!

Overs last 5 or 6 years this is the best bowling attack from #RCB

#HarshalPatel… https://t.co/4nzhlRhcPH",2021-04-27 16:47:12,,0,0.5,0.18333333333333332
2021-04-27  22:21,1387085934143827971,JeniusKaafi,"RT @akibaliii: Whenever RCB is in trouble.

AB de Villiers : #RCBvsDC https://t.co/3njBmnv5G3",2021-04-27 16:47:12,,23,-0.2,0.2
2021-04-27  22:21,1387085923276312578,JeniusKaafi,"RT @memegineers_: #RCBvsDC
AB de Villiers always delivers 🔥 https://t.co/J0yL02jbeT",2021-04-27 16:47:09,,41,0.0,0.0
2021-04-27  22:21,1387085902137106434,KettavanMari,"RT @hugepooja: Even while the sandstorm was going on, Virat Kohli &amp; #Abdevilliers were busy in their own thing. Wait for it! 😂❤

#RCBvsDC #…",2021-04-27 16:47:04," Madurai karan 🔥 South, India",6,0.425,0.65
2021-04-27  22:21,1387085898248908802,Shridha83766145,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:47:03,"Hyderabad, India",192,0.5,0.875
2021-04-27  22:21,1387085894780293123,jskajahska,"RT @Prem_Ssmb: THE SAVIOUR @ABdeVilliers17 
#RCBvsDC 
#IPL2021 
#RCB https://t.co/WaIS2FxSss",2021-04-27 16:47:02,,4,0.0,0.0
2021-04-27  22:21,1387085891710029824,therinnerebirth,"RT @memegineers_: #RCBvsDC
AB de Villiers always delivers 🔥 https://t.co/J0yL02jbeT",2021-04-27 16:47:02,                              ,41,0.0,0.0
2021-04-27  22:21,1387085890195890179,ImChandana01,"RT @mguindore: Match 22, Question 22!!!

Cmnt ur ans using #MGUIPLContest2021 &amp; #HarGharKiRasoiKiShaan

Follow 
@mguindore

Don't forget to…",2021-04-27 16:47:01,Asansol,115,0.0,0.0
2021-04-27  22:21,1387085887675109376,Praveen10536933,"Bowl a good ball you will get hit, Bowl a Bad One you will get a wicket. So called T20 Format for a reason… https://t.co/rXaZ8SNgw1",2021-04-27 16:47:01,,1,5.551115123125783e-17,0.6333333333333333
2021-04-27  22:21,1387085852363218945,__its_harshit,"RT @SRKxCombatant: One ""Single Innings"" Decider from IPL 2021.
CMON.. #RCBvsDC https://t.co/Vgvju6xGxZ",2021-04-27 16:46:52,,2,-0.07142857142857142,0.21428571428571427
2021-04-27  22:21,1387085830179590146,_Marktamang,"RT @memegineers_: #RCBvsDC
AB de Villiers always delivers 🔥 https://t.co/J0yL02jbeT",2021-04-27 16:46:47,,41,0.0,0.0
2021-04-27  22:21,1387085795547176960,_Marktamang,"RT @Zero_humour: #RCBvsDC
ABD to whole RCB : https://t.co/dgs8ANN03y",2021-04-27 16:46:39,,62,0.2,0.4
2021-04-27  22:21,1387085791566864384,TusharLohar92,"RT @aakash_lakhia: #RCBvsDC
Carefully, He's a Hero💖
#AbdeVilliers 👑❤️ https://t.co/3mkWrs5s2B",2021-04-27 16:46:38,महाराष्ट्र🚩,65,-0.1,1.0
2021-04-27  22:21,1387085775691419654,_Marktamang,"RT @munna_30_: #RCBvsDC
Where AB de Villiers can hit the ball? https://t.co/FAD7TohZOt",2021-04-27 16:46:34,,40,0.0,0.0
2021-04-27  22:21,1387085772382105602,Cutiekishu,"RT @_kabiraSpeaking: #RCBvsDC
She said ""you won't find another one like me"".

You ain't ""Ab de Villiers"" bitch!!",2021-04-27 16:46:33,India,5,0.0,0.0
2021-04-27  22:21,1387085763087675401,KhattakMj,"RT @Being_SadeSati: (1/2)Watch Tripura's DM West, Shailesh Yadav IAS beating the hell out of people who violated Night Curfew rules in Agar…",2021-04-27 16:46:31,World,18,-0.75,1.0
2021-04-27  22:21,1387085760747118593,i_vishal_chauhn,"@ViCustomerCare Ans 15/. None 
@ViCustomerCare 🤩✌️
#FanOfTheMatch
#RCBvsDC 
#IPL2021",2021-04-27 16:46:30,"Hasanpur, India",0,0.0,0.0
2021-04-27  22:21,1387085755252580354,cbatrody,"Need a wicket now!
#RCBvsDC",2021-04-27 16:46:29,,0,0.0,0.0
2021-04-27  22:21,1387085747795156994,Sud60726821,RT @sanjukta: Among India trends largest number of Tweets are in #Resign_PM_Modi which is trending at no.3 with a whooping 375k Tweets wher…,2021-04-27 16:46:27,,33,0.0,0.0
2021-04-27  22:21,1387085733895172099,BSharan1,"Good fielding by #RCB today..

#MarcusStoinis and #RishabhPant...You guys can..

But, if you guys fail, then #RCB i… https://t.co/lVQnkkPGcd",2021-04-27 16:46:24,Chennai,0,0.09999999999999998,0.45
2021-04-27  22:21,1387085684570087427,VinuthNayaka7,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:46:12,,193,0.5,0.875
2021-04-27  22:21,1387085678828089346,Tweetanesh,"RT @munna_30_: #RCBvsDC
Where AB de Villiers can hit the ball? https://t.co/FAD7TohZOt",2021-04-27 16:46:11,Maharashtra ❤,40,0.0,0.0
2021-04-27  22:21,1387085650214543361,20Invincible,RT @sekartweets: Legend #AbdeVilliers saves #RCB once again. The last over of #Stoinis has certainly become super expensive for #DC. #RCBvs…,2021-04-27 16:46:04,,39,0.01190476190476189,0.5011904761904762
2021-04-27  22:21,1387085644841701377,TheNameIsAnush,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:46:03,Still Loding...,193,0.5,0.875
2021-04-27  22:21,1387085631696760833,anushmita7,"ABRAHAM BENJAMIN DE VILLIERS 

That's it that's the tweet!! 
#AbdeVilliers #DCvRCB #RCBvsDC https://t.co/jI2GEgJfAp",2021-04-27 16:46:00,"Kolkata, India",0,0.0,0.0
2021-04-27  22:21,1387085627779293185,Peace25666743,"Jai sanda manda gunda 

Stonis and pant wicket venum

😂😂🤪🤪🤣🤣👻👻🏃🏃😜

#RCBvsDC 
#Valimai",2021-04-27 16:45:59,,0,0.0,0.0
